2,Tortenelem,5
5,Magyar,10
13,Magyar,4
11,Roman,4
3,Fizika,6
7,Angol,8
9,Foldrajz,4
10,Fizika,4
6,Matek,9
5,Fizika,7
2,Tortenelem,5
2,Tortenelem,8
6,Matek,7
11,Fizika,10
2,Fizika,7
2,Roman,8
11,Roman,9
9,Fizika,9
3,Roman,9
6,Magyar,4
1,Fizika,10
2,Tortenelem,4
5,Fizika,4
4,Matek,5
12,Tortenelem,4
3,Foldrajz,6
1,Matek,9
13,Tortenelem,10
2,Foldrajz,10
5,Foldrajz,8
6,Foldrajz,8
6,Tortenelem,7
13,Roman,8
11,Magyar,5
3,Matek,10
2,Magyar,5
9,Magyar,4
10,Foldrajz,8
3,Tortenelem,10
5,Fizika,5
9,Tortenelem,10
7,Fizika,4
10,Angol,10
10,Fizika,4
2,Matek,5
1,Foldrajz,7
9,Matek,5
1,Tortenelem,5
2,Foldrajz,6
6,Matek,6
4,Foldrajz,10
8,Fizika,4
3,Matek,5
13,Fizika,10
8,Angol,9
10,Angol,6
3,Angol,9
10,Magyar,7
1,Foldrajz,5
5,Foldrajz,6
6,Tortenelem,4
12,Magyar,6
10,Fizika,5
4,Angol,9
1,Roman,6
13,Roman,9
4,Magyar,4
11,Angol,10
12,Magyar,4
5,Magyar,10
5,Tortenelem,8
8,Fizika,4
3,Fizika,9
7,Fizika,5
11,Fizika,5
10,Tortenelem,8
12,Roman,6
6,Roman,8
6,Roman,4
11,Foldrajz,6
6,Tortenelem,9
5,Fizika,4
6,Roman,9
6,Matek,4
12,Tortenelem,10
9,Matek,7
4,Fizika,4
7,Angol,9
8,Roman,8
9,Foldrajz,8
8,Roman,9
5,Foldrajz,9
1,Magyar,7
3,Foldrajz,8
13,Tortenelem,10
3,Matek,7
3,Roman,4
13,Fizika,8
6,Fizika,7
11,Angol,10
